,고객번호,총구매지수,선매품_구매지수,편의품_구매지수,전문품_구매지수,기타_구매지수,A_구매지수,B_구매지수,C_구매지수,D_구매지수,가공식품_구매지수,신선식품_구매지수,일상용품_구매지수,의류_구매지수,패션잡화_구매지수,전문스포츠/레저_구매지수,디지털/가전_구매지수,교육/문화용품_구매지수,가구/인테리어_구매지수,시설_구매지수,의약품/의료기기_구매지수,총구매횟수변동,성별,연령대,거주지역,RECENCY,성장률,label
0,19273,-0.6000000000000001,0.0,-0.6000000000000001,0.0,0.0,0.0,-1.8000000000000003,0.0,0.0,-0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,3,9,365,0.0,0
1,19228,-0.6000000000000001,0.0,-0.6000000000000001,0.0,0.0,0.0,-1.8000000000000003,0.0,0.0,-0.6000000000000001,-0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-1.8000000000000003,0.0,0.0,2,0,6,9,364,0.0,0
2,19294,-0.6000000000000001,0.0,-0.6000000000000001,0.0,0.0,0.0,-2.4000000000000004,0.0,0.0,-0.6000000000000001,0.0,-1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,9,0,363,0.0,1
3,19229,-0.6000000000000001,0.0,-0.6000000000000001,0.0,0.0,0.0,-3.0,0.0,0.0,-0.6000000000000001,-1.2000000000000002,-0.6000000000000001,0.0,0.0,0.0,-1.2000000000000002,0.0,0.0,0.0,0.0,1,0,7,0,363,0.0,1
4,19212,-0.6000000000000001,0.0,-0.6000000000000001,0.0,0.0,0.0,-2.4000000000000004,0.0,0.0,-0.6000000000000001,-0.6000000000000001,0.0,0.0,0.0,0.0,-1.8000000000000003,0.0,0.0,0.0,0.0,1,0,7,0,363,0.0,1
5,19063,-0.6000000000000001,0.0,-0.6000000000000001,0.0,0.0,0.0,-1.8000000000000003,0.0,0.0,-0.6000000000000001,0.0,-0.6000000000000001,0.0,0.0,0.0,0.0,0.0,-1.8000000000000003,0.0,0.0,5,1,5,0,362,0.0,1
6,1171,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,0.0,0.0,-1.8000000000000003,0.0,0.0,-0.6000000000000001,-0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,8,9,362,0.0,0
7,18374,-0.6000000000000001,0.0,-0.6000000000000001,0.0,0.0,0.0,-1.8000000000000003,0.0,0.0,-0.6000000000000001,-0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,8,3,362,0.0,1
8,18356,-0.6000000000000001,0.0,-0.6000000000000001,0.0,0.0,0.0,-2.4000000000000004,0.0,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,0.0,0.0,-1.8000000000000003,-3.6000000000000005,0.0,0.0,0.0,6,1,6,12,361,0.0,0
9,19230,-0.6000000000000001,-1.2000000000000002,-0.6000000000000001,0.0,0.0,0.0,-2.4000000000000004,0.0,0.0,-0.6000000000000001,0.0,-0.6000000000000001,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,8,9,361,0.0,1
