,고객번호,성별,연령대,거주지역,14년 상반기 구매총액,14년 하반기 구매총액,15년 상반기 구매총액,15년 하반기 구매총액,14년도총구매액,15년도총구매액,식품_1,식품_2,식품_3,식품_4,생활_1,생활_2,생활_3,생활_4,잡화_1,잡화_2,잡화_3,잡화_4,화장품_1,화장품_2,화장품_3,화장품_4,시설_1,시설_2,시설_3,시설_4,문화_1,문화_2,문화_3,문화_4,의류_1,의류_2,의류_3,의류_4,가구_1,가구_2,가구_3,가구_4,아동_1,아동_2,아동_3,아동_4,스포츠_레저_1,스포츠_레저_2,스포츠_레저_3,스포츠_레저_4,악세사리_1,악세사리_2,악세사리_3,악세사리_4,전자제품_1,전자제품_2,전자제품_3,전자제품_4
0,16291,F,35세~39세,100.0,7482624,4113186,6288534,4918156,11595810,11206690,3.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,6285,F,40세~44세,33.0,9895138,13051792,10041108,9263240,22946930,19304348,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
2,17667,F,50세~54세,100.0,9633982,6031362,6347632,9529436,15665344,15877068,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0
3,6830,F,40세~44세,16.0,11198064,12016148,11893584,10879814,23214212,22773398,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,3.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,18850,M,35세~39세,75.0,2368960,2154908,2277164,2222162,4523868,4499326,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,18869,F,40세~44세,75.0,4857740,5333718,5765666,4101564,10191458,9867230,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,8543,F,35세~39세,100.0,7239702,7641508,7224992,6851172,14881210,14076164,3.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,0.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0
7,8071,M,35세~39세,100.0,13472026,12008482,12541876,12502454,25480508,25044330,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,4.0,4.0,3.0,4.0,3.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0
8,16297,F,45세~49세,13.0,84087236,60279538,75346146,61970654,144366774,137316800,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,1.0,0.0,2.0,1.0
9,17182,M,30세~34세,39.0,3560466,3542914,3386780,3478506,7103380,6865286,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
